Date 	Time	NIFTY_Open	NIFTY_High 	NIFTY_Low 	NIFTY_Close 	NIFTY_Volume	BANKNIFTY_Open	BANKNIFTY_High	BANKNIFTY_Low	BANKNIFTY_Close	BANKNIFTY_Volume
2025-11-13	09:15	25834.3	25934.55	25781.15	25875.8	30633.19	58188.4	58242.45	58127.1	58197.3	4095938
2025-11-13	09:20	25617	25715.8	25449.25	25694.95	28285.51	58196.35	58252.2	58127.65	58250.4	2432391
2025-11-13	09:25	25503.5	25653.45	25503.5	25574.35	25023.65	58247.3	58302	58246.9	58282.8	2888690
2025-11-13	09:30	25433.8	25551.25	25318.45	25492.3	35487	58281.4	58309.05	58244.65	58247.85	2004196
2025-11-13	09:35	25593.35	25679.15	25491.55	25509.7	36129.62	58245.05	58270.35	58210.95	58270.35	1747562
2025-11-13	09:40	25744.75	25787.4	25578.4	25597.65	29307.41	58270.25	58349.35	58268.05	58345.6	2118845
2025-11-13	09:45	25696.85	25803.1	25645.5	25763.35	23949.88	58345.95	58385.65	58340.4	58365.65	1845198
2025-11-13	09:50	25863.8	25953.75	25711.2	25722.1	28788.4	58365.9	58386	58339.5	58345.65	1097225
2025-11-13	09:55	25984.4	26032.05	25845.25	25877.85	24180.46	58348	58372.7	58331.5	58370.3	1177994
2025-11-13	10:00	25982	26097.85	25960.3	26053.9	26309.32	58366.4	58449.75	58366.4	58434.75	1990923
2025-11-13	10:05	25939.95	26041.7	25810.05	25936.2	37023.32	58434.9	58487.2	58424.25	58468.25	3831109
2025-11-13	10:10	25843.2	26005.95	25827	25966.05	23989.06	58465.6	58469.35	58439.7	58456.9	2091941
2025-11-13	10:15	25935.1	25944.15	25718.2	25795.15	23527.98	58456.25	58508.15	58456.25	58499.2	2140249
2025-11-13	10:20	26057.2	26104.2	25862.45	25891.4	41777.68	58502.35	58516.05	58473.4	58506.8	1798743
2025-11-13	10:25	25901.2	25934.35	25825.8	25868.6	3831.1	58503	58503	58467.45	58481	1327138
2025-11-13	10:30	25824.6	25926.2	25788.5	25843.15	29637.12	58477.8	58533.45	58474.8	58527.05	1476691
2025-11-13	10:35	25546.85	25781.5	25508.6	25709.85	35106.96	58530.1	58540.15	58514.3	58526.7	1169945
2025-11-13	10:40	25394.9	25625.4	25376.85	25585.3	32008.64	58526.05	58533.35	58511	58532.35	1022359
2025-11-13	10:45	25181.95	25365.15	25159.35	25323.55	25202.02	58530.7	58554.85	58521.15	58546.8	977236
2025-11-13	10:50	25277.55	25310.35	25060.55	25145.5	24151.97	58551.8	58568.6	58535.7	58561.85	1050431
2025-11-13	10:55	25177.3	25267.3	25152.3	25227.35	20806.83	58559.05	58566.25	58531.3	58551.65	1380731
